season,player,possessions,DRAYMOND
2014,Iman Shumpert,3768.675,-1.049491
2017,Anthony Morrow,1565.73,-1.048718
2015,Paul George,181.6588,3.056852
2014,Solomon Hill,444.1356,2.411742
2014,Wesley Johnson,4739.0,-0.5403807
2014,Courtney Lee,4204.492,0.9105157
2019,Zaza Pachulia,1891.814,1.235672
2014,Nick Calathes,2295.903,3.460058
2019,Anthony Davis,4013.729,1.154147
2019,Jerome Robinson,807.8917,0.527799
2018,Cedi Osman,1544.994,0.8367217
2018,James Harden,6500.302,0.3474295
2016,Dorell Wright,39.1875,16.26515
2019,Trae Young,5570.218,-1.828938
2017,Troy Williams,1181.69,1.543034
2017,Shaun Livingston,3230.151,-0.2038689
2017,Dion Waiters,2806.636,2.098846
2018,Bam Adebayo,2954.994,1.03855
2018,Cheick Diallo,1372.329,-1.415527
2018,Jayson Tatum,6329.068,-0.1327687
2019,Tyus Jones,3347.5,-1.792942
2016,Udonis Haslem,692.7396,-3.003659
2018,Nerlens Noel,992.2817,0.1241443
2017,Sergio Rodriguez,3161.235,-2.502372
2014,Zaza Pachulia,2619.912,-1.674184
2014,Amir Johnson,4662.681,0.4759569
2017,Luc Mbah a Moute,4109.902,1.929973
2018,Justin Patton,10.71417,-2.493646
2019,Raul Neto,1093.738,-0.204009
2018,Jarell Martin,3393.284,0.8589783
2014,Dorell Wright,2215.0,1.115238
2018,Larry Nance Jr.,3639.48,-0.2686556
2018,Carmelo Anthony,5613.804,-0.6558207
2015,Evan Fournier,3303.314,-1.208671
2016,Jeff Ayres,233.0677,-3.599437
2015,Kevin Martin,2630.583,-0.2396798
2019,Jonah Bolden,1607.572,0.9275465
2018,Tim Frazier,1738.602,-2.149257
2017,Isaiah Thomas,6345.129,-0.6145684
2016,Damjan Rudez,574.8904,0.2747607
2017,Henry Ellenson,298.9958,-0.8566247
2015,Tyler Zeller,3763.662,1.190105
2019,Kris Dunn,2898.38,-0.4218276
2017,Sam Dekker,3104.061,0.762085
2019,Yogi Ferrell,2329.839,-0.9202162
2016,Mike Dunleavy,1429.726,0.2819142
2019,Ricky Rubio,4413.723,-1.438614
2014,James Jones,682.9696,-4.691254
2016,Roy Hibbert,3824.86,0.0618231
2015,Robert Covington,3975.978,-1.028082
2015,Pau Gasol,5946.568,1.714135
2018,Cody Zeller,1318.137,1.137861
2018,Malachi Richardson,670.4369,-2.779273
2016,Donatas Motiejunas,1355.647,1.882164
2019,Jevon Carter,1197.996,-0.9330357
2017,Josh Richardson,3257.254,1.915935
2014,Kobe Bryant,361.9281,3.990428
2014,DeAndre Liggins,2.5,-2.553921
2015,Chris Copeland,1644.443,0.0207031
2014,Gustavo Ayon,868.01,0.6507909
2014,Omri Casspi,2703.923,1.598811
2018,Markelle Fultz,620.1854,1.773343
2014,Tyreke Evans,3996.005,-0.3002641
2014,Samuel Dalembert,3512.057,0.5605037
2014,Daniel Orton,539.4409,1.501535
2016,Nemanja Bjelica,2213.38,-0.0114317
